# this file is a copy of the TLS one, with small modifications made by looking at SSL3-related RFCs and documents
"0xC0,0x15",SSL_ECDH_anon_WITH_NULL_SHA,Y,[RFC4492]
"0xC0,0x16",SSL_ECDH_anon_WITH_RC4_128_SHA,N,[RFC4492][RFC6347]
"0xC0,0x17",SSL_ECDH_anon_WITH_3DES_EDE_CBC_SHA,Y,[RFC4492]
"0xC0,0x18",SSL_ECDH_anon_WITH_AES_128_CBC_SHA,Y,[RFC4492]
"0xC0,0x19",SSL_ECDH_anon_WITH_AES_256_CBC_SHA,Y,[RFC4492]
"0xC0,0x1A",SSL_SRP_SHA_WITH_3DES_EDE_CBC_SHA,Y,[RFC5054]
"0xC0,0x1B",SSL_SRP_SHA_RSA_WITH_3DES_EDE_CBC_SHA,Y,[RFC5054]
"0xC0,0x1C",SSL_SRP_SHA_DSS_WITH_3DES_EDE_CBC_SHA,Y,[RFC5054]
"0xC0,0x1D",SSL_SRP_SHA_WITH_AES_128_CBC_SHA,Y,[RFC5054]
"0xC0,0x1E",SSL_SRP_SHA_RSA_WITH_AES_128_CBC_SHA,Y,[RFC5054]
"0xC0,0x1F",SSL_SRP_SHA_DSS_WITH_AES_128_CBC_SHA,Y,[RFC5054]
"0xC0,0x20",SSL_SRP_SHA_WITH_AES_256_CBC_SHA,Y,[RFC5054]
"0xC0,0x21",SSL_SRP_SHA_RSA_WITH_AES_256_CBC_SHA,Y,[RFC5054]
"0xC0,0x22",SSL_SRP_SHA_DSS_WITH_AES_256_CBC_SHA,Y,[RFC5054]
"0xC0,0x23",SSL_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256,Y,[RFC5289]
"0xC0,0x24",SSL_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384,Y,[RFC5289]
"0xC0,0x25",SSL_ECDH_ECDSA_WITH_AES_128_CBC_SHA256,Y,[RFC5289]
"0xC0,0x26",SSL_ECDH_ECDSA_WITH_AES_256_CBC_SHA384,Y,[RFC5289]
"0xC0,0x27",SSL_ECDHE_RSA_WITH_AES_128_CBC_SHA256,Y,[RFC5289]
"0xC0,0x28",SSL_ECDHE_RSA_WITH_AES_256_CBC_SHA384,Y,[RFC5289]
"0xC0,0x29",SSL_ECDH_RSA_WITH_AES_128_CBC_SHA256,Y,[RFC5289]
"0xC0,0x2A",SSL_ECDH_RSA_WITH_AES_256_CBC_SHA384,Y,[RFC5289]
"0xC0,0x2B",SSL_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,Y,[RFC5289]
"0xC0,0x2C",SSL_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,Y,[RFC5289]
"0xC0,0x2D",SSL_ECDH_ECDSA_WITH_AES_128_GCM_SHA256,Y,[RFC5289]
"0xC0,0x2E",SSL_ECDH_ECDSA_WITH_AES_256_GCM_SHA384,Y,[RFC5289]
"0xC0,0x2F",SSL_ECDHE_RSA_WITH_AES_128_GCM_SHA256,Y,[RFC5289]
"0xC0,0x30",SSL_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Y,[RFC5289]
"0xC0,0x31",SSL_ECDH_RSA_WITH_AES_128_GCM_SHA256,Y,[RFC5289]
"0xC0,0x32",SSL_ECDH_RSA_WITH_AES_256_GCM_SHA384,Y,[RFC5289]
"0xC0,0x33",SSL_ECDHE_PSK_WITH_RC4_128_SHA,N,[RFC5489][RFC6347]
"0xC0,0x34",SSL_ECDHE_PSK_WITH_3DES_EDE_CBC_SHA,Y,[RFC5489]
"0xC0,0x35",SSL_ECDHE_PSK_WITH_AES_128_CBC_SHA,Y,[RFC5489]
"0xC0,0x36",SSL_ECDHE_PSK_WITH_AES_256_CBC_SHA,Y,[RFC5489]
"0xC0,0x37",SSL_ECDHE_PSK_WITH_AES_128_CBC_SHA256,Y,[RFC5489]
"0xC0,0x38",SSL_ECDHE_PSK_WITH_AES_256_CBC_SHA384,Y,[RFC5489]
"0xC0,0x39",SSL_ECDHE_PSK_WITH_NULL_SHA,Y,[RFC5489]
"0xC0,0x3A",SSL_ECDHE_PSK_WITH_NULL_SHA256,Y,[RFC5489]
"0xC0,0x3B",SSL_ECDHE_PSK_WITH_NULL_SHA384,Y,[RFC5489]
"0xC0,0x3C",SSL_RSA_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x3D",SSL_RSA_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x3E",SSL_DH_DSS_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x3F",SSL_DH_DSS_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x40",SSL_DH_RSA_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x41",SSL_DH_RSA_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x42",SSL_DHE_DSS_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x43",SSL_DHE_DSS_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x44",SSL_DHE_RSA_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x45",SSL_DHE_RSA_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x46",SSL_DH_anon_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x47",SSL_DH_anon_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x48",SSL_ECDHE_ECDSA_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x49",SSL_ECDHE_ECDSA_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x4A",SSL_ECDH_ECDSA_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x4B",SSL_ECDH_ECDSA_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x4C",SSL_ECDHE_RSA_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x4D",SSL_ECDHE_RSA_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x4E",SSL_ECDH_RSA_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x4F",SSL_ECDH_RSA_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x50",SSL_RSA_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x51",SSL_RSA_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x52",SSL_DHE_RSA_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x53",SSL_DHE_RSA_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x54",SSL_DH_RSA_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x55",SSL_DH_RSA_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x56",SSL_DHE_DSS_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x57",SSL_DHE_DSS_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x58",SSL_DH_DSS_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x59",SSL_DH_DSS_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x5A",SSL_DH_anon_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x5B",SSL_DH_anon_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x5C",SSL_ECDHE_ECDSA_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x5D",SSL_ECDHE_ECDSA_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x5E",SSL_ECDH_ECDSA_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x5F",SSL_ECDH_ECDSA_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x60",SSL_ECDHE_RSA_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x61",SSL_ECDHE_RSA_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x62",SSL_ECDH_RSA_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x63",SSL_ECDH_RSA_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x64",SSL_PSK_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x65",SSL_PSK_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x66",SSL_DHE_PSK_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x67",SSL_DHE_PSK_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x68",SSL_RSA_PSK_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x69",SSL_RSA_PSK_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x6A",SSL_PSK_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x6B",SSL_PSK_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x6C",SSL_DHE_PSK_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x6D",SSL_DHE_PSK_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x6E",SSL_RSA_PSK_WITH_ARIA_128_GCM_SHA256,Y,[RFC6209]
"0xC0,0x6F",SSL_RSA_PSK_WITH_ARIA_256_GCM_SHA384,Y,[RFC6209]
"0xC0,0x70",SSL_ECDHE_PSK_WITH_ARIA_128_CBC_SHA256,Y,[RFC6209]
"0xC0,0x71",SSL_ECDHE_PSK_WITH_ARIA_256_CBC_SHA384,Y,[RFC6209]
"0xC0,0x72",SSL_ECDHE_ECDSA_WITH_CAMELLIA_128_CBC_SHA256,Y,[RFC6367]
"0xC0,0x73",SSL_ECDHE_ECDSA_WITH_CAMELLIA_256_CBC_SHA384,Y,[RFC6367]
"0xC0,0x74",SSL_ECDH_ECDSA_WITH_CAMELLIA_128_CBC_SHA256,Y,[RFC6367]
"0xC0,0x75",SSL_ECDH_ECDSA_WITH_CAMELLIA_256_CBC_SHA384,Y,[RFC6367]
"0xC0,0x76",SSL_ECDHE_RSA_WITH_CAMELLIA_128_CBC_SHA256,Y,[RFC6367]
"0xC0,0x77",SSL_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384,Y,[RFC6367]
"0xC0,0x78",SSL_ECDH_RSA_WITH_CAMELLIA_128_CBC_SHA256,Y,[RFC6367]
"0xC0,0x79",SSL_ECDH_RSA_WITH_CAMELLIA_256_CBC_SHA384,Y,[RFC6367]
"0xC0,0x7A",SSL_RSA_WITH_CAMELLIA_128_GCM_SHA256,Y,[RFC6367]
"0xC0,0x7B",SSL_RSA_WITH_CAMELLIA_256_GCM_SHA384,Y,[RFC6367]
"0xC0,0x7C",SSL_DHE_RSA_WITH_CAMELLIA_128_GCM_SHA256,Y,[RFC6367]
"0xC0,0x7D",SSL_DHE_RSA_WITH_CAMELLIA_256_GCM_SHA384,Y,[RFC6367]
"0xC0,0x7E",SSL_DH_RSA_WITH_CAMELLIA_128_GCM_SHA256,Y,[RFC6367]
"0xC0,0x7F",SSL_DH_RSA_WITH_CAMELLIA_256_GCM_SHA384,Y,[RFC6367]
"0xC0,0x80",SSL_DHE_DSS_WITH_CAMELLIA_128_GCM_SHA256,Y,[RFC6367]
"0xC0,0x81",SSL_DHE_DSS_WITH_CAMELLIA_256_GCM_SHA384,Y,[RFC6367]
"0xC0,0x82",SSL_DH_DSS_WITH_CAMELLIA_128_GCM_SHA256,Y,[RFC6367]
"0xC0,0x83",SSL_DH_DSS_WITH_CAMELLIA_256_GCM_SHA384,Y,[RFC6367]
"0xC0,0x84",SSL_DH_anon_WITH_CAMELLIA_128_GCM_SHA256,Y,[RFC6367]
"0xC0,0x85",SSL_DH_anon_WITH_CAMELLIA_256_GCM_SHA384,Y,[RFC6367]
"0xC0,0x86",SSL_ECDHE_ECDSA_WITH_CAMELLIA_128_GCM_SHA256,Y,[RFC6367]
"0xC0,0x87",SSL_ECDHE_ECDSA_WITH_CAMELLIA_256_GCM_SHA384,Y,[RFC6367]
"0xC0,0x88",SSL_ECDH_ECDSA_WITH_CAMELLIA_128_GCM_SHA256,Y,[RFC6367]
"0xC0,0x89",SSL_ECDH_ECDSA_WITH_CAMELLIA_256_GCM_SHA384,Y,[RFC6367]
"0xC0,0x8A",SSL_ECDHE_RSA_WITH_CAMELLIA_128_GCM_SHA256,Y,[RFC6367]
"0xC0,0x8B",SSL_ECDHE_RSA_WITH_CAMELLIA_256_GCM_SHA384,Y,[RFC6367]
"0xC0,0x8C",SSL_ECDH_RSA_WITH_CAMELLIA_128_GCM_SHA256,Y,[RFC6367]
"0xC0,0x8D",SSL_ECDH_RSA_WITH_CAMELLIA_256_GCM_SHA384,Y,[RFC6367]
"0xC0,0x8E",SSL_PSK_WITH_CAMELLIA_128_GCM_SHA256,Y,[RFC6367]
"0xC0,0x8F",SSL_PSK_WITH_CAMELLIA_256_GCM_SHA384,Y,[RFC6367]
"0xC0,0x90",SSL_DHE_PSK_WITH_CAMELLIA_128_GCM_SHA256,Y,[RFC6367]
"0xC0,0x91",SSL_DHE_PSK_WITH_CAMELLIA_256_GCM_SHA384,Y,[RFC6367]
"0xC0,0x92",SSL_RSA_PSK_WITH_CAMELLIA_128_GCM_SHA256,Y,[RFC6367]
"0xC0,0x93",SSL_RSA_PSK_WITH_CAMELLIA_256_GCM_SHA384,Y,[RFC6367]
"0xC0,0x94",SSL_PSK_WITH_CAMELLIA_128_CBC_SHA256,Y,[RFC6367]
"0xC0,0x95",SSL_PSK_WITH_CAMELLIA_256_CBC_SHA384,Y,[RFC6367]
"0xC0,0x96",SSL_DHE_PSK_WITH_CAMELLIA_128_CBC_SHA256,Y,[RFC6367]
"0xC0,0x97",SSL_DHE_PSK_WITH_CAMELLIA_256_CBC_SHA384,Y,[RFC6367]
"0xC0,0x98",SSL_RSA_PSK_WITH_CAMELLIA_128_CBC_SHA256,Y,[RFC6367]
"0xC0,0x99",SSL_RSA_PSK_WITH_CAMELLIA_256_CBC_SHA384,Y,[RFC6367]
"0xC0,0x9A",SSL_ECDHE_PSK_WITH_CAMELLIA_128_CBC_SHA256,Y,[RFC6367]
"0xC0,0x9B",SSL_ECDHE_PSK_WITH_CAMELLIA_256_CBC_SHA384,Y,[RFC6367]
"0xC0,0x9C",SSL_RSA_WITH_AES_128_CCM,Y,[RFC6655]
"0xC0,0x9D",SSL_RSA_WITH_AES_256_CCM,Y,[RFC6655]
"0xC0,0x9E",SSL_DHE_RSA_WITH_AES_128_CCM,Y,[RFC6655]
"0xC0,0x9F",SSL_DHE_RSA_WITH_AES_256_CCM,Y,[RFC6655]
"0xC0,0xA0",SSL_RSA_WITH_AES_128_CCM_8,Y,[RFC6655]
"0xC0,0xA1",SSL_RSA_WITH_AES_256_CCM_8,Y,[RFC6655]
"0xC0,0xA2",SSL_DHE_RSA_WITH_AES_128_CCM_8,Y,[RFC6655]
"0xC0,0xA3",SSL_DHE_RSA_WITH_AES_256_CCM_8,Y,[RFC6655]
"0xC0,0xA4",SSL_PSK_WITH_AES_128_CCM,Y,[RFC6655]
"0xC0,0xA5",SSL_PSK_WITH_AES_256_CCM,Y,[RFC6655]
"0xC0,0xA6",SSL_DHE_PSK_WITH_AES_128_CCM,Y,[RFC6655]
"0xC0,0xA7",SSL_DHE_PSK_WITH_AES_256_CCM,Y,[RFC6655]
"0xC0,0xA8",SSL_PSK_WITH_AES_128_CCM_8,Y,[RFC6655]
"0xC0,0xA9",SSL_PSK_WITH_AES_256_CCM_8,Y,[RFC6655]
"0xC0,0xAA",SSL_PSK_DHE_WITH_AES_128_CCM_8,Y,[RFC6655]
"0xC0,0xAB",SSL_PSK_DHE_WITH_AES_256_CCM_8,Y,[RFC6655]
"0xC0,0xAC",SSL_ECDHE_ECDSA_WITH_AES_128_CCM,Y,[RFC7251]
"0xC0,0xAD",SSL_ECDHE_ECDSA_WITH_AES_256_CCM,Y,[RFC7251]
"0xC0,0xAE",SSL_ECDHE_ECDSA_WITH_AES_128_CCM_8,Y,[RFC7251]
"0xC0,0xAF",SSL_ECDHE_ECDSA_WITH_AES_256_CCM_8,Y,[RFC7251]
"0xC0,0xB0-FF",Unassigned,,
"0xC1-FD,*",Unassigned,,
"0xFE,0x00-FD",Unassigned,,
"0xFE,0xFE-FF","Reserved to avoid conflicts with
widely deployed implementations",,
"0xFF,0x00-FF",Reserved for Private Use,,[RFC5246]
"0xFE,0xFE",SSL_RSA_FIPS_WITH_DES_CBC_SHA,,[]
"0xFE,0xFF",SSL_RSA_FIPS_WITH_3DES_EDE_CBC_SHA,,[]
"0xCC,0x13",TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,Y,[draft]
"0xCC,0x14",TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,Y,[draft]
"0xCC,0x15",TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256,Y,[draft]
#some old suites [0x00,0x60-0x66]
"0x00,0x62",TLS_RSA_EXPORT1024_WITH_DES_CBC_SHA,Y,[]
"0x00,0x63",TLS_DHE_DSS_EXPORT1024_WITH_DES_CBC_SHA,Y,[]
"0x00,0x64",TLS_RSA_EXPORT1024_WITH_RC4_56_SHA,Y,[]
"0x00,0x65",TLS_DHE_DSS_EXPORT1024_WITH_RC4_56_SHA,Y,[]
"0x00,0x66",TLS_DHE_DSS_WITH_RC4_128_SHA,Y,[]
